2026-06-23T19:04:49+02:00,gateway,10.30.0.1,LOSS,
2026-06-23T19:04:49+02:00,quad9,9.9.9.9,LOSS,
2026-06-23T19:04:49+02:00,google,8.8.8.8,LOSS,
2026-06-23T19:04:51+02:00,gateway,10.30.0.1,LOSS,
2026-06-23T19:04:51+02:00,quad9,9.9.9.9,LOSS,
2026-06-23T19:04:51+02:00,google,8.8.8.8,LOSS,
2026-06-23T19:04:53+02:00,gateway,10.30.0.1,LOSS,
2026-06-23T19:04:53+02:00,quad9,9.9.9.9,LOSS,
2026-06-23T19:04:53+02:00,google,8.8.8.8,LOSS,
2026-06-23T19:04:55+02:00,gateway,10.30.0.1,LOSS,
2026-06-23T19:04:55+02:00,quad9,9.9.9.9,LOSS,
2026-06-23T19:04:55+02:00,google,8.8.8.8,LOSS,
2026-06-23T19:04:57+02:00,gateway,10.30.0.1,ok,0.493
2026-06-23T19:04:57+02:00,quad9,9.9.9.9,LOSS,
2026-06-23T19:04:57+02:00,google,8.8.8.8,LOSS,
2026-06-23T19:05:03+02:00,gateway,10.30.0.1,ok,0.523
2026-06-23T19:05:03+02:00,quad9,9.9.9.9,ok,11.4
2026-06-23T19:05:03+02:00,google,8.8.8.8,ok,7.17
2026-06-23T19:05:05+02:00,gateway,10.30.0.1,ok,0.627
2026-06-23T19:05:05+02:00,quad9,9.9.9.9,ok,14.6
2026-06-23T19:05:05+02:00,google,8.8.8.8,ok,3.89
2026-06-23T19:05:07+02:00,gateway,10.30.0.1,ok,0.548
2026-06-23T19:05:07+02:00,quad9,9.9.9.9,ok,11.4
2026-06-23T19:05:07+02:00,google,8.8.8.8,ok,5.95
2026-06-23T19:05:09+02:00,gateway,10.30.0.1,ok,0.529
2026-06-23T19:05:09+02:00,quad9,9.9.9.9,ok,11.1
2026-06-23T19:05:09+02:00,google,8.8.8.8,ok,4.11
2026-06-23T19:05:11+02:00,gateway,10.30.0.1,ok,0.525
2026-06-23T19:05:11+02:00,quad9,9.9.9.9,ok,11.9
2026-06-23T19:05:11+02:00,google,8.8.8.8,ok,4.18
2026-06-23T19:05:13+02:00,gateway,10.30.0.1,ok,0.516
2026-06-23T19:05:13+02:00,quad9,9.9.9.9,ok,12.1
2026-06-23T19:05:13+02:00,google,8.8.8.8,ok,4.05
2026-06-23T19:05:16+02:00,gateway,10.30.0.1,ok,0.484
2026-06-23T19:05:16+02:00,quad9,9.9.9.9,ok,11.7
2026-06-23T19:05:16+02:00,google,8.8.8.8,ok,6.40
2026-06-23T19:05:18+02:00,gateway,10.30.0.1,ok,0.451
2026-06-23T19:05:18+02:00,quad9,9.9.9.9,ok,10.9
2026-06-23T19:05:18+02:00,google,8.8.8.8,ok,3.83
2026-06-23T19:05:20+02:00,gateway,10.30.0.1,ok,1.31
2026-06-23T19:05:20+02:00,quad9,9.9.9.9,ok,12.4
2026-06-23T19:05:20+02:00,google,8.8.8.8,ok,4.35
2026-06-23T19:05:22+02:00,gateway,10.30.0.1,ok,0.494
2026-06-23T19:05:22+02:00,quad9,9.9.9.9,ok,22.2
2026-06-23T19:05:22+02:00,google,8.8.8.8,ok,15.4
2026-06-23T19:05:24+02:00,gateway,10.30.0.1,ok,0.472
2026-06-23T19:05:24+02:00,quad9,9.9.9.9,ok,12.4
2026-06-23T19:05:24+02:00,google,8.8.8.8,ok,4.22
2026-06-23T19:05:26+02:00,gateway,10.30.0.1,ok,0.491
2026-06-23T19:05:26+02:00,quad9,9.9.9.9,ok,11.0
2026-06-23T19:05:26+02:00,google,8.8.8.8,ok,4.17
2026-06-23T19:05:28+02:00,gateway,10.30.0.1,ok,0.551
2026-06-23T19:05:28+02:00,quad9,9.9.9.9,ok,20.0
2026-06-23T19:05:28+02:00,google,8.8.8.8,ok,5.99
2026-06-23T19:05:30+02:00,gateway,10.30.0.1,ok,0.565
2026-06-23T19:05:30+02:00,quad9,9.9.9.9,ok,13.1
2026-06-23T19:05:30+02:00,google,8.8.8.8,ok,13.5
2026-06-23T19:05:32+02:00,gateway,10.30.0.1,ok,0.595
2026-06-23T19:05:32+02:00,quad9,9.9.9.9,ok,11.5
2026-06-23T19:05:32+02:00,google,8.8.8.8,ok,4.02
2026-06-23T19:05:35+02:00,gateway,10.30.0.1,ok,0.601
2026-06-23T19:05:35+02:00,quad9,9.9.9.9,ok,16.5
2026-06-23T19:05:35+02:00,google,8.8.8.8,ok,4.20
2026-06-23T19:05:37+02:00,gateway,10.30.0.1,ok,0.562
2026-06-23T19:05:37+02:00,quad9,9.9.9.9,ok,12.6
2026-06-23T19:05:37+02:00,google,8.8.8.8,ok,11.2
2026-06-23T19:05:39+02:00,gateway,10.30.0.1,ok,0.580
2026-06-23T19:05:39+02:00,quad9,9.9.9.9,ok,11.4
2026-06-23T19:05:39+02:00,google,8.8.8.8,ok,4.41
2026-06-23T19:05:41+02:00,gateway,10.30.0.1,ok,0.619
2026-06-23T19:05:41+02:00,quad9,9.9.9.9,ok,11.2
2026-06-23T19:05:41+02:00,google,8.8.8.8,ok,4.11
2026-06-23T19:05:43+02:00,gateway,10.30.0.1,ok,0.497
2026-06-23T19:05:43+02:00,quad9,9.9.9.9,ok,12.6
2026-06-23T19:05:43+02:00,google,8.8.8.8,ok,4.14
2026-06-23T19:05:45+02:00,gateway,10.30.0.1,ok,0.560
2026-06-23T19:05:45+02:00,quad9,9.9.9.9,ok,13.1
2026-06-23T19:05:45+02:00,google,8.8.8.8,ok,6.33
2026-06-23T19:05:47+02:00,gateway,10.30.0.1,ok,0.425
2026-06-23T19:05:47+02:00,quad9,9.9.9.9,ok,17.1
2026-06-23T19:05:47+02:00,google,8.8.8.8,ok,10.1
2026-06-23T19:05:49+02:00,gateway,10.30.0.1,ok,0.511
2026-06-23T19:05:49+02:00,quad9,9.9.9.9,ok,10.9
2026-06-23T19:05:49+02:00,google,8.8.8.8,ok,4.05
2026-06-23T19:05:51+02:00,gateway,10.30.0.1,ok,0.549
2026-06-23T19:05:51+02:00,quad9,9.9.9.9,ok,12.3
2026-06-23T19:05:51+02:00,google,8.8.8.8,ok,6.03
2026-06-23T19:05:53+02:00,gateway,10.30.0.1,ok,0.584
2026-06-23T19:05:53+02:00,quad9,9.9.9.9,ok,10.9
2026-06-23T19:05:53+02:00,google,8.8.8.8,ok,5.47
2026-06-23T19:05:55+02:00,gateway,10.30.0.1,ok,0.548
2026-06-23T19:05:55+02:00,quad9,9.9.9.9,ok,11.2
2026-06-23T19:05:55+02:00,google,8.8.8.8,ok,7.58
2026-06-23T19:05:57+02:00,gateway,10.30.0.1,ok,0.494
2026-06-23T19:05:57+02:00,quad9,9.9.9.9,ok,11.1
2026-06-23T19:05:57+02:00,google,8.8.8.8,ok,4.46
2026-06-23T19:05:59+02:00,gateway,10.30.0.1,ok,0.577
2026-06-23T19:05:59+02:00,quad9,9.9.9.9,ok,12.8
2026-06-23T19:05:59+02:00,google,8.8.8.8,ok,4.35
2026-06-23T19:06:01+02:00,gateway,10.30.0.1,ok,0.653
2026-06-23T19:06:01+02:00,quad9,9.9.9.9,ok,12.2
2026-06-23T19:06:01+02:00,google,8.8.8.8,ok,7.32
2026-06-23T19:06:03+02:00,gateway,10.30.0.1,ok,0.449
2026-06-23T19:06:03+02:00,quad9,9.9.9.9,ok,11.1
2026-06-23T19:06:03+02:00,google,8.8.8.8,ok,4.22
2026-06-23T19:06:05+02:00,gateway,10.30.0.1,ok,0.414
2026-06-23T19:06:05+02:00,quad9,9.9.9.9,ok,11.4
2026-06-23T19:06:05+02:00,google,8.8.8.8,ok,3.87
2026-06-23T19:06:08+02:00,gateway,10.30.0.1,ok,0.478
2026-06-23T19:06:08+02:00,quad9,9.9.9.9,ok,11.1
2026-06-23T19:06:08+02:00,google,8.8.8.8,ok,4.30
2026-06-23T19:06:10+02:00,gateway,10.30.0.1,ok,0.539
2026-06-23T19:06:10+02:00,quad9,9.9.9.9,ok,10.9
2026-06-23T19:06:10+02:00,google,8.8.8.8,ok,4.48
2026-06-23T19:06:12+02:00,gateway,10.30.0.1,ok,0.491
2026-06-23T19:06:12+02:00,quad9,9.9.9.9,ok,14.6
2026-06-23T19:06:12+02:00,google,8.8.8.8,ok,22.9
2026-06-23T19:06:14+02:00,gateway,10.30.0.1,ok,0.486
2026-06-23T19:06:14+02:00,quad9,9.9.9.9,ok,11.2
2026-06-23T19:06:14+02:00,google,8.8.8.8,ok,4.27
2026-06-23T19:06:16+02:00,gateway,10.30.0.1,ok,0.454
2026-06-23T19:06:16+02:00,quad9,9.9.9.9,ok,11.5
2026-06-23T19:06:16+02:00,google,8.8.8.8,ok,7.13
