2026-06-23T19:04:49+02:00,START
2026-06-23T19:05:49+02:00,ALIVE
2026-06-23T19:06:49+02:00,ALIVE
2026-06-23T19:07:49+02:00,ALIVE
2026-06-23T19:08:49+02:00,ALIVE
2026-06-23T19:09:49+02:00,ALIVE
2026-06-23T19:10:49+02:00,ALIVE
2026-06-23T19:11:49+02:00,ALIVE
2026-06-23T19:12:49+02:00,ALIVE
2026-06-23T19:13:49+02:00,ALIVE
2026-06-23T19:14:49+02:00,ALIVE
2026-06-23T19:15:49+02:00,ALIVE
2026-06-23T19:16:49+02:00,ALIVE
2026-06-23T19:17:49+02:00,ALIVE
2026-06-23T19:18:52+02:00,ALIVE
2026-06-23T19:19:52+02:00,ALIVE
