2026-06-23T19:04:49+02:00,,,,000,FAIL
2026-06-23T19:05:20+02:00,7.1,6.2,38.8,204,ok
2026-06-23T19:05:51+02:00,2.7,4.8,42.7,204,ok
2026-06-23T19:06:22+02:00,3.2,6.2,60.4,204,ok
2026-06-23T19:06:53+02:00,16.7,7.8,57.0,204,ok
2026-06-23T19:07:24+02:00,3.2,10.4,53.7,204,ok
2026-06-23T19:07:55+02:00,2.2,12.9,45.1,204,ok
2026-06-23T19:08:26+02:00,3.2,5.1,46.1,204,ok
2026-06-23T19:08:57+02:00,8.7,7.3,58.4,204,ok
2026-06-23T19:09:28+02:00,3.2,4.3,50.3,204,ok
2026-06-23T19:09:59+02:00,3.5,5.9,45.7,204,ok
2026-06-23T19:10:30+02:00,7.5,4.4,61.1,204,ok
2026-06-23T19:11:01+02:00,8.0,4.5,44.6,204,ok
2026-06-23T19:11:32+02:00,3.1,7.6,51.9,204,ok
2026-06-23T19:12:03+02:00,1.0,5.4,33.3,204,ok
2026-06-23T19:12:34+02:00,8.4,9.1,34.4,204,ok
2026-06-23T19:13:05+02:00,10.9,5.2,37.5,204,ok
2026-06-23T19:13:36+02:00,1.7,4.9,37.1,204,ok
2026-06-23T19:14:07+02:00,2.1,20.7,47.0,204,ok
2026-06-23T19:14:38+02:00,2.5,19.0,51.7,204,ok
2026-06-23T19:15:08+02:00,3.3,16.7,50.2,204,ok
2026-06-23T19:15:39+02:00,20.7,6.7,54.3,204,ok
2026-06-23T19:16:10+02:00,3.3,4.5,63.3,204,ok
2026-06-23T19:16:41+02:00,3.8,5.3,38.3,204,ok
2026-06-23T19:17:12+02:00,3.4,6.0,49.8,204,ok
2026-06-23T19:17:43+02:00,9.3,5.6,46.2,204,ok
2026-06-23T19:18:14+02:00,3.2,4.5,59.1,204,ok
2026-06-23T19:18:45+02:00,3.2,7.9,53.3,204,ok
2026-06-23T19:19:16+02:00,3.5,6.1,60.8,204,ok
2026-06-23T19:19:48+02:00,3.2,4.7,75.6,204,ok
